area_id,weight,volume,fat,sugar,saturate,protein,carb,salt,fibre,energy_fat,energy_sugar,energy_saturate,energy_protein,energy_fibre,energy_carb,energy_tot,number_reception_measured,number_y6_measured,prevalence_overweight_reception,prevalence_overweight_y6,prevalence_obese_reception,prevalence_obese_y6
E05000492,88.81762973878756,24.94196964394969,1.9859247183363238,2.198149050765378,0.772832296781656,1.1744859481383234,3.930408080054448,0.13187009158469665,0.34795583956492104,17.873322465102504,8.792596203061509,6.95549067102783,4.6979437925532945,0.6538635892350894,15.721632320217791,39.29840338179699,530,473,0.222641509,0.359408034,0.113207547,0.230443975
E05000493,108.4114702506992,32.70693466612834,2.154268323225887,2.5887988458665814,0.8524099143568582,1.0724308075061457,4.518953762539825,0.12154089616620568,0.3460401148341624,19.38841490902529,10.355195383466329,7.6716892292038015,4.289723230024584,0.6330144373077423,18.075815050159303,42.76793343431448,706,621,0.206798867,0.40257649,0.101983003,0.2431562
E05000494,97.66621964737668,27.80735334113713,2.0416562501570192,2.300219662003377,0.7942740324176426,1.1735759273653672,4.2728803529251245,0.13626533492861945,0.3534101069705124,18.374906251420267,9.200878648013507,7.148466291724003,4.694303709461469,0.6596425771935475,17.091521411700498,41.10311282137512,558,507,0.281362007,0.435897436,0.14516129,0.272189349
E05000516,77.49708263880336,22.88267907185116,2.016396757519847,1.9981901427165392,0.8070956320170382,1.2221847362222371,3.4834657539146416,0.1219622695250929,0.3729780315724691,18.147570817684194,7.992760570866157,7.2638606880996175,4.8887389448889484,0.7094079191218485,13.933863015658567,38.12743320651446,166,116,0.180722892,0.267241379,0.048192771,0.146551724
E05000517,70.35589249240424,22.37348739026197,2.0254403892994826,2.290506451187245,0.8157659734266752,1.175687542055963,3.7245330195748165,0.11484923090209222,0.3624657447009045,18.22896350368825,9.16202580474898,7.341893760857383,4.702750168223852,0.6856571041852415,14.898132078299263,39.22432161119362,400,237,0.16,0.189873418,0.05,0.075949367
E05000518,63.43477451758973,19.48316519473407,2.0675396354122753,2.346148762911448,0.7691153323295478,1.2212699471297541,4.454855041818451,0.1241116753977665,0.420873592087456,18.607856718709794,9.384595051645793,6.922037990965249,4.8850797885190165,0.7868442016406445,17.819420167273805,42.498356087615925,430,279,0.202325581,0.215053763,0.055813953,0.089605735
E05000519,71.49978671122771,21.255208141734816,2.0673762898803454,2.392123396018116,0.8028502767910595,1.2480543777353879,4.280428583594577,0.12496091373735228,0.3972703286744294,18.606386608923838,9.568493584072462,7.225652491116774,4.992217510941551,0.7409822762352374,17.121714334378307,41.83653081079902,303,235,0.141914191,0.242553191,0.04950495,0.131914894
E05000520,66.58745150773625,22.818487388149446,2.111777331268208,2.329631594075104,0.814338111852599,1.3403420583431287,4.1693845896980495,0.13203076814430922,0.4266722914517601,19.005995981412504,9.318526376300415,7.32904300667338,5.361368233372515,0.8057980664274642,16.677538358792198,42.20817446531767,342,192,0.15497076,0.307291667,0.052631579,0.145833333
E05000521,65.396387011276,21.43478860057911,2.251398132477645,2.693564843125791,0.8607880707948511,1.246584071757638,4.612610792063109,0.13223591677958746,0.40772656921947403,20.262583192298063,10.774259372503163,7.747092637153503,4.986336287030554,0.7533048653804945,18.45044316825244,44.799954017740184,296,233,0.233108108,0.313304721,0.077702703,0.197424893
E05000522,64.33112260894973,18.294186572553635,2.125103096510268,2.382648999052625,0.8069205282374139,1.2054126972593846,4.054066884932211,0.1324127852939459,0.3834963678542633,19.125927868591557,9.530595996210504,7.262284754135273,4.821650789037538,0.7238564750603674,16.216267539728843,41.48520029133709,393,276,0.193384224,0.188405797,0.063613232,0.101449275
